accuracy,loss,val_accuracy,val_loss,learning_rate
0.4095703065395355,1.5759800672531128,0.4537401497364044,2.141540288925171,0.0010000000474974513
0.5722895264625549,1.1546579599380493,0.6091113686561584,1.0367788076400757,0.0010000000474974513
0.6236967444419861,1.0392231941223145,0.5825365781784058,1.0367019176483154,0.0010000000474974513
0.63948655128479,0.9866715669631958,0.698115885257721,0.8319784998893738,0.0010000000474974513
0.6681733131408691,0.9138186573982239,0.6054555773735046,0.9800416231155396,0.0010000000474974513
0.6708250641822815,0.8812973499298096,0.7076771855354309,0.8035227060317993,0.0010000000474974513
0.6906526684761047,0.8299925327301025,0.703880786895752,0.8274887800216675,0.0010000000474974513
0.710902214050293,0.7664305567741394,0.7287682890892029,0.7594848871231079,0.0010000000474974513
0.7119266986846924,0.7350389361381531,0.6656355261802673,0.8712027072906494,0.0010000000474974513
0.7368167042732239,0.6781250834465027,0.7539370059967041,0.7181572318077087,0.0010000000474974513
0.7365154027938843,0.6574236750602722,0.6304836869239807,0.9289599657058716,0.0010000000474974513
0.7580304741859436,0.6221586465835571,0.7031777501106262,0.7974171042442322,0.0010000000474974513
0.798167884349823,0.4949367940425873,0.7415635585784912,0.744121253490448,0.0005000000237487257
0.8206472396850586,0.4343356192111969,0.7658886313438416,0.7246607542037964,0.0005000000237487257
0.8392695784568787,0.39054933190345764,0.7688413858413696,0.7445563077926636,0.0005000000237487257
